Date,Open,High,Low,Close,Adj Close,Volume
1999-02-01,0.39583298563957214,0.546875,0.36067700386047363,0.4570310115814209,0.41937002539634705,314659200
1999-03-01,0.46875,0.47916701436042786,0.38020798563957214,0.44010400772094727,0.40383780002593994,201451200
1999-04-01,0.44010400772094727,0.45833298563957214,0.33333298563957214,0.38020798563957214,0.3488774597644806,176702400
1999-05-01,0.3841150104999542,0.4453130066394806,0.34375,0.3554689884185791,0.32617703080177307,248251200
1999-06-01,0.35416701436042786,0.3984380066394806,0.34114599227905273,0.3984380066394806,0.36560526490211487,236616000
1999-07-01,0.3984380066394806,0.48177099227905273,0.35677099227905273,0.41927099227905273,0.3847215473651886,376406400
1999-08-01,0.41927099227905273,0.5911459922790527,0.40625,0.5859379768371582,0.5376545190811157,789480000
1999-09-01,0.5859379768371582,0.5859379768371582,0.34895798563957214,0.40104201436042786,0.3679946959018707,699264000
1999-10-01,0.3945310115814209,0.5208330154418945,0.37760400772094727,0.4609380066394806,0.4229549765586853,795350400
1999-11-01,0.453125,0.9244790077209473,0.453125,0.7213540077209473,0.6619117259979248,1391793600
1999-12-01,0.7213540077209473,0.9882810115814209,0.7213540077209473,0.9778649806976318,0.8972853422164917,491755200
2000-01-01,0.984375,1.0052080154418945,0.7291669845581055,0.7721350193023682,0.7085083723068237,494145600
2000-02-01,0.7734379768371582,1.421875,0.7447919845581055,1.3333330154418945,1.2234612703323364,916084800
2000-03-01,1.3333330154418945,3.125,1.1979169845581055,1.760090947151184,1.6150532960891724,1755216000
2000-04-01,1.7441409826278687,2.2994790077209473,1.1875,1.8567709922790527,1.7037664651870728,648172800
2000-05-01,1.9270830154418945,2.457031011581421,1.5729169845581055,2.3776040077209473,2.181680917739868,869558400
2000-06-01,2.4479169845581055,3.6666669845581055,2.382812976837158,2.648437976837158,2.430197238922119,1327130400
2000-07-01,2.6666669845581055,3.2213540077209473,2.0833330154418945,2.5,2.29399037361145,728035200
2000-08-01,2.5,3.4375,2.25,3.3072919845581055,3.0347585678100586,607924800
2000-09-01,3.375,3.5572919845581055,2.6041669845581055,3.4114580154418945,3.1303417682647705,586857600
2000-10-01,3.4583330154418945,3.59375,2.1901040077209473,2.589193105697632,2.375833511352539,884157600
2000-11-01,2.5260419845581055,3.3333330154418945,1.515625,1.6875,1.5484439134597778,867547200
2000-12-01,1.7916669845581055,2.1145830154418945,1.1458330154418945,1.3652340173721313,1.2527343034744263,1445320800
2001-01-01,1.375,2.375,1.1770830154418945,2.1510419845581055,1.9737884998321533,1072864800
2001-02-01,2.1510419845581055,2.5416669845581055,1.7083330154418945,1.8619790077209473,1.7085450887680054,1164482400
2001-03-01,1.8385419845581055,2.9869790077209473,1.6666669845581055,2.705077886581421,2.4821696281433105,2894047200
2001-04-01,2.6979169845581055,3.7495830059051514,2.242187976837158,3.4708330631256104,3.184823513031006,3110292000
2001-05-01,3.483333110809326,4.1666669845581055,3.1479170322418213,3.5670828819274902,3.2731430530548096,2804160000
2001-06-01,3.5916669368743896,4.150000095367432,3.456249952316284,3.8645830154418945,3.546128034591675,2015676000
2001-07-01,3.711667060852051,3.7791669368743896,2.802500009536743,3.370832920074463,3.0930633544921875,2160451200
2001-08-01,3.4370830059051514,3.7799999713897705,3.34375,3.529582977294922,3.2387325763702393,2986346400
2001-09-01,3.5199999809265137,3.5199999809265137,2.125833034515381,2.2891669273376465,2.1005311012268066,2116918800
2001-10-01,2.2874999046325684,4.203332901000977,1.8883329629898071,3.571666955947876,3.2773478031158447,2637720000
2001-11-01,3.617500066757202,4.665832996368408,3.5625,4.553332805633545,4.1781206130981445,2873460000
2001-12-01,4.457499980926514,5.8541669845581055,4.404167175292969,5.574999809265137,5.115599632263184,1764864000
2002-01-01,5.5991668701171875,6.054999828338623,4.980000019073486,5.478332996368408,5.02689790725708,2358918000
2002-02-01,5.469167232513428,5.527500152587891,4.1041669845581055,4.250833034515381,3.900547504425049,3099526800
2002-03-01,4.2916669845581055,5.040832996368408,3.4891669750213623,3.696666955947876,3.3920485973358154,2726972400
2002-04-01,3.4916670322418213,3.7241671085357666,2.5308330059051514,2.9008328914642334,2.6617941856384277,3209862000
2002-05-01,2.853332996368408,3.387500047683716,2.55916690826416,2.788332939147949,2.5585644245147705,2780068800
2002-06-01,2.7208330631256104,2.803333044052124,1.3691669702529907,1.4316669702529907,1.313692331314087,2883909600
2002-07-01,1.4249999523162842,1.9458329677581787,0.911666989326477,0.9225000143051147,0.8464827537536621,3248022000
2002-08-01,0.9300000071525574,1.1208330392837524,0.7074999809265137,0.8416669964790344,0.7723106145858765,2404141200
2002-09-01,0.8016669750213623,0.9916669726371765,0.6958330273628235,0.713333010673523,0.6545518040657043,1782774000
2002-10-01,0.7191669940948486,0.9983329772949219,0.6000000238418579,0.9916669726371765,0.9099500179290771,1836457200
2002-11-01,0.9766669869422913,1.4816670417785645,0.8516669869422913,1.4275000095367432,1.3098688125610352,3418719600
2002-12-01,1.5033329725265503,1.5225000381469727,0.9325000047683716,0.9591670036315918,0.8801282644271851,2190667200
2003-01-01,1.0,1.1566669940948486,0.7966669797897339,0.8600000143051147,0.7891327738761902,2352913200
2003-02-01,0.8758329749107361,1.1241669654846191,0.7774999737739563,1.0516669750213623,0.9650058150291443,2124375600
2003-03-01,1.0641670227050781,1.2358330488204956,1.0,1.0733330249786377,0.9848863482475281,1800315600
2003-04-01,1.0958329439163208,1.225000023841858,1.071666955947876,1.1941670179367065,1.0957634449005127,1257813600
2003-05-01,1.1858329772949219,2.2191669940948486,1.1791670322418213,2.180833101272583,2.001124858856201,3728180400
2003-06-01,2.237499952316284,2.3125,1.838333010673523,1.9091670513153076,1.7518447637557983,2319618000
2003-07-01,1.8849999904632568,2.1458330154418945,1.5299999713897705,1.5908329486846924,1.4597420692443848,1990429200
2003-08-01,1.5916670560836792,1.789167046546936,1.2716670036315918,1.5141669511795044,1.3893942832946777,2174373600
2003-09-01,1.5408329963684082,1.789167046546936,1.3083330392837524,1.3308329582214355,1.2211673259735107,2358895200
2003-10-01,1.3333330154418945,1.5633330345153809,1.3291670083999634,1.4733330011367798,1.3519247770309448,1378844400
2003-11-01,1.4658329486846924,1.8433330059051514,1.4508329629898071,1.7691669464111328,1.6233811378479004,1776092400
2003-12-01,1.789167046546936,2.016666889190674,1.625,1.9333330392837524,1.7740195989608765,1234768800
2004-01-01,1.9641669988632202,2.1566669940948486,1.7625000476837158,1.8541669845581055,1.7013766765594482,1240158000
2004-02-01,1.8691669702529907,2.0274999141693115,1.824167013168335,1.8541669845581055,1.7013766765594482,1186280400
2004-03-01,1.849166989326477,2.2233328819274902,1.7191669940948486,2.200000047683716,2.0187132358551025,1319224800
2004-04-01,2.202500104904175,2.2791669368743896,1.7033330202102661,1.7100000381469727,1.5690900087356567,1236259200
2004-05-01,1.7283329963684082,1.965000033378601,1.6583329439163208,1.9541670083999634,1.793136715888977,1029033600
2004-06-01,1.9208329916000366,2.009166955947876,1.6066670417785645,1.7058329582214355,1.5652661323547363,952489200
2004-07-01,1.725000023841858,1.7274999618530273,1.1533329486846924,1.284999966621399,1.1791112422943115,1174399200
